song,artists
Gratitude,Brandon Lake
Flyin' Pass (Single),Caldwell
Wizards in Winter (Instrumental),Trans-Siberian Orchestra
Anti-Hero,Taylor Swift
The Painter,Cody Johnson
Nights in White Satin (Single Edit),"The Moody Blues, London Festival Orchestra & Peter Knight"
The Buds of Youth Are Still Lingering There,Luminara Stellaris
If You Dont Have One-The Day You,The day you
Lover,Taylor Swift
Islands In the Stream,Dolly Parton & Kenny Rogers
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
MONACO,Bad Bunny
Dance The Night,Dua Lipa
The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
My Arms Are Spread Wide With Joy,Luminara Stellaris
Son Of A Sinner,Jelly Roll
Stories About My Brother,Drake
The Shoe Fits,Drake
Forever Settled Inside Me,Luminara Stellaris
Red Button,Drake
The Best,Nicotine Dolls
So It's Sad to Be Apart,Luminara Stellaris
Tennessee Whiskey,Chris Stapleton
A Mad Russian's Christmas (Instrumental),Trans-Siberian Orchestra
Wick Man,Drake
Dirt Cheap,Cody Johnson
G6,2 Chainz & Lil Wayne
Please Stay Don't Go,The day you
Dial Drunk,Noah Kahan & Post Malone
Let It Be (feat. Paul McCartney & Ringo Starr),Dolly Parton
Presha,2 Chainz & Lil Wayne
Purple Rain,Dolly Parton
TRUCK BED,HARDY
Those Who Leave Will Not Return,Luminara Stellaris
Christmas Canon Rock,Trans-Siberian Orchestra
In My Life,The Beatles
White Christmas,Bing Crosby
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
